chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent,
chr14_hap1_hsa13,117901000,117902000,Western,11.93825843,7.282462966,0.891497905,LOC134808168,lncRNA,uncharacterized LOC134808168,0,73.5,
chr8_hap1_hsa10,140179000,140180000,Western,12.90953406,7.28201954,0.827582763,PTPRE,protein_coding,protein tyrosine phosphatase receptor type E,0,48.1,
chr17_hap1_hsa18,70729000,70730000,Western,12.11902991,7.278617638,0.934758301,LOC112206266,lncRNA,uncharacterized LOC112206266,2.4,99.9,
chr18_hap1_hsa16,88043000,88044000,Western,11.81567421,7.267092135,0.815021371,SPIRE2,protein_coding,spire type actin nucleation factor 2,2.8,21.4,
chr5_hap1_hsa6,63297000,63298000,Western,13.09889153,7.254849191,0.852670154,PRIM2,protein_coding,DNA primase subunit 2,4.3,41.1,
chr5_hap1_hsa6,70739000,70740000,Western,13.74653277,7.233948076,1.025853542,LOC100609532,protein_coding,protein eyes shut homolog,1.6,22.2,
chr7_hap1_hsa8,8651000,8652000,Western,12.09414297,7.226635212,0.851285153,LOC134810642,lncRNA,uncharacterized LOC134810642,0,90.3,
chr2_hap1_hsa3,201281000,201282000,Western,11.60052109,7.223723267,0.95903248,LOC104005939,protein_coding,uncharacterized LOC104005939,4.4,33.5,
chr4_hap1_hsa5,177803000,177804000,Western,11.75852254,7.207904616,0.887080089,GFPT2,protein_coding,glutamine-fructose-6-phosphate transaminase 2,2,20.4,
chr23_hap1_hsa22,50551000,50552000,Western,12.37510661,7.196444191,0.6152017,TAFA5,protein_coding,TAFA chemokine like family member 5,0,34.2,
chr20_hap1_hsa19,56137000,56138000,Western,12.38739057,7.181044948,0.724992226,LOC129137954,protein_coding,protein FAM90A27P-like,0,44.9,
chr18_hap1_hsa16,4112000,4113000,Western,13.0592362,7.179732161,0.941366008,MAPK8IP3,protein_coding,mitogen-activated protein kinase 8 interacting protein 3,3.9,55.8,
chr5_hap1_hsa6,55337000,55338000,Western,11.96028513,7.179342061,0.908498259,CENPQ,protein_coding,centromere protein Q,0,95.9,
chr13_hap1_hsa2b,16069000,16070000,Western,18.21918089,7.1491191,0.719491816,DPP10,protein_coding,dipeptidyl peptidase like 10,1.1,29.2,
chr3_hap1_hsa4,3894000,3895000,Western,11.61510855,7.148825351,0.871892154,DOK7,protein_coding,docking protein 7,1.1,93.3,
chr16_hap1_hsa15,63800000,63801000,Western,12.66113665,7.143229804,0.736370683,NR2E3,protein_coding,nuclear receptor subfamily 2 group E member 3,2.3,70.1,
chr20_hap1_hsa19,55970000,55971000,Western,12.38514038,7.126795167,0.716048011,ZNF415,protein_coding,zinc finger protein 415,3.8,53.8,
chr8_hap1_hsa10,19766000,19767000,Western,12.35964567,7.12518636,0.768217945,LOC107976907,protein_coding,endogenous retrovirus group K member 16 Rec protein,3.7,96.4,
chr5_hap1_hsa6,38964000,38965000,Western,13.63927655,7.121780992,0.71566123,PATR-DPB1,protein_coding,major histocompatibility complex%2C class II%2C DP beta 1,2,92.6,
chr21_hap1_hsa20,70098000,70099000,Western,11.63615098,7.108724967,0.727133632,ZBTB46,protein_coding,zinc finger and BTB domain containing 46,0,21.3,
chr21_hap1_hsa20,70579000,70580000,Western,12.07902441,7.106625951,0.871620478,MYT1,protein_coding,myelin transcription factor 1,1.1,30.5,
chr7_hap1_hsa8,16495000,16496000,Western,11.95763587,7.10651003,0.692564,PRSS51,protein_coding,serine protease 51,0,89.3,
chr6_hap1_hsa7,14458000,14459000,Western,12.03645032,7.085374941,0.920031494,NXPH1,protein_coding,neurexophilin 1,2,99.8,
chr12_hap1_hsa2a,107430000,107431000,Western,13.23341478,7.057686169,0.693439779,NBAS,protein_coding,NBAS subunit of NRZ tethering complex,3.1,71,
chr3_hap1_hsa4,6283000,6284000,Western,10.75360819,7.049992493,0.883419076,C3H4orf50,protein_coding,chromosome 3 C4orf50 homolog,3.8,66.6,
chr18_hap1_hsa16,9865000,9866000,Western,11.51181036,7.039163007,0.916563324,RBFOX1,protein_coding,RNA binding fox-1 homolog 1,1.7,38.6,
chr5_hap1_hsa6,36033000,36034000,Western,13.19177067,7.0375741,1.013827817,TRIM31,protein_coding,tripartite motif containing 31,1.7,97.3,
chr18_hap1_hsa16,25467000,25468000,Western,11.4522265,7.028244184,0.931369964,HS3ST2,protein_coding,heparan sulfate-glucosamine 3-sulfotransferase 2,0,83.4,
chr5_hap1_hsa6,36937000,36938000,Western,15.97533737,7.027262606,1.175933636,LOC462552,protein_coding,protein PBMUCL2,3,99.4,
chr6_hap1_hsa7,172006000,172007000,Western,13.99530494,7.008353842,0.992773444,NOM1,protein_coding,nucleolar protein with MIF4G domain 1,1.3,31.6,
chr3_hap1_hsa4,65578000,65579000,Western,12.25064147,7.001071239,0.913077692,TECRL,protein_coding,trans-2%2C3-enoyl-CoA reductase like,0,59.9,
chr20_hap1_hsa19,57116000,57117000,Western,16.2031673,6.998482545,0.569141878,LOC100612450,protein_coding,immunoglobulin superfamily member 1,1.7,88.6,
chr7_hap1_hsa8,17043000,17044000,Western,10.96677727,6.993336426,0.790953301,XKR6,protein_coding,XK related 6,3.7,94.8,
chr5_hap1_hsa6,179294000,179295000,Western,11.18620242,6.990295826,0.835321026,TCP10L2,protein_coding,t-complex 10 like 2,0,37.8,
chr18_hap1_hsa16,87433000,87434000,Western,10.98088719,6.989766662,0.998365531,LOC101058970,protein_coding,uncharacterized LOC101058970,0,41.9,
chr10_hap1_hsa12,139904000,139905000,Western,11.88897547,6.988201455,0.974567103,ZNF26,protein_coding,zinc finger protein 26,4.1,83.4,
chr4_hap1_hsa5,19324000,19325000,Western,12.07609086,6.983889871,0.955950089,LOC134810063,lncRNA,uncharacterized LOC134810063,0,99.3,
chr2_hap1_hsa3,5236000,5237000,Western,11.16760485,6.975063077,0.913806531,CNTN6,protein_coding,contactin 6,0,60.7,
chr6_hap1_hsa7,54679000,54680000,Western,11.53962797,6.968053238,0.915210385,LOC129144556,lncRNA,uncharacterized LOC129144556,0,21.1,
chr18_hap1_hsa16,79350000,79351000,Western,12.4647113,6.966210994,0.845466671,LOC454266,protein_coding,polycystin-1-like protein 2,1.7,90.6,
chr7_hap1_hsa8,152507000,152508000,Western,12.38999677,6.950782578,0.80355785,LOC134810799,lncRNA,uncharacterized LOC134810799,0,25.5,
chr12_hap1_hsa2a,15977000,15978000,Western,12.89086896,6.940542329,0.777067423,LOC736102,protein_coding,E3 SUMO-protein ligase RanBP2-like,2.6,24.6,
chr13_hap1_hsa2b,141281000,141282000,Western,10.95747838,6.93927311,0.92458316,HDAC4,protein_coding,histone deacetylase 4,3.5,20.4,
chr9_hap1_hsa11,28676000,28677000,Western,12.1654707,6.91948599,0.673445039,LUZP2,protein_coding,leucine zipper protein 2,2.5,99.7,
chr9_hap1_hsa11,136468000,136469000,Western,11.44035436,6.919327881,0.836840877,LOC100614081,protein_coding,uncharacterized LOC100614081,3.4,98.9,
chr20_hap1_hsa19,45952000,45953000,Western,10.25763265,6.909463369,0.848197972,LOC107969555,protein_coding,pregnancy-specific beta-1-glycoprotein 11,4.4,20.9,
chr20_hap1_hsa19,57369000,57370000,Western,10.71885469,6.905224546,0.899785608,KIR3DX1,protein_coding,killer cell immunoglobulin-like receptor%2C three domains%2C X1,1.3,34.1,
chr11_hap1_hsa9,110197000,110198000,Western,11.08606474,6.901431744,0.932774943,RIC1,protein_coding,RIC1 homolog%2C RAB6A GEF complex partner 1,0,36.1,
chr2_hap1_hsa3,34772000,34773000,Western,10.76849887,6.894255133,0.942771437,GADL1,protein_coding,glutamate decarboxylase like 1,0,98.8,
chr1_hap1_hsa1,878000,879000,Western,12.67316559,6.892970869,0.967967489,OR2M4,protein_coding,olfactory receptor family 2 subfamily M member 4,1.8,100,
chr20_hap1_hsa19,55792000,55793000,Western,12.15241895,6.885328679,0.842603731,LOC104001091,protein_coding,putative protein ZNF321,3.7,59.2,
chr8_hap1_hsa10,26801000,26802000,Western,11.84212985,6.883966488,0.859263701,FRMD4A,protein_coding,FERM domain containing 4A,0,100,
chr16_hap1_hsa15,92721000,92722000,Western,11.30228107,6.872707272,0.891937404,GCAWKR,lncRNA,gastric cancer associated WDR5 and KAT2A binding lncRNA,0,89.6,
chr7_hap1_hsa8,8978000,8979000,Western,12.21454768,6.870338524,0.917576803,MYOM2,protein_coding,myomesin 2,2.6,99.7,
chr6_hap1_hsa7,9892000,9893000,Western,12.20229839,6.86590408,0.947571462,SDK1,protein_coding,sidekick cell adhesion molecule 1,1.3,66.2,
chr4_hap1_hsa5,3943000,3944000,Western,13.75129163,6.862940406,0.773397423,LOC104006326,lncRNA,uncharacterized LOC104006326,2.3,28.2,
chr16_hap1_hsa15,78165000,78166000,Western,12.6343606,6.86091346,0.80104138,AGBL1,protein_coding,AGBL carboxypeptidase 1,0,97.7,
chr8_hap1_hsa10,13932000,13933000,Western,13.77640629,6.860865577,0.863374051,WDR37,protein_coding,WD repeat domain 37,0,21.5,
chr19_hap1_hsa17,11513000,11514000,Western,14.24653045,6.856836995,0.731540475,ABR,protein_coding,ABR activator of RhoGEF and GTPase,2.3,46.7,
chr17_hap1_hsa18,83722000,83723000,Western,11.52950656,6.851511685,0.838470199,LOC129137891,lncRNA,uncharacterized LOC129137891,0,97.8,
chr21_hap1_hsa20,8589000,8590000,Western,11.43295004,6.847288597,0.973257602,LOC107969908,lncRNA,uncharacterized LOC107969908,4.9,93.3,
chr3_hap1_hsa4,189794000,189795000,Western,11.90632212,6.84532479,0.874837332,TRIML1,protein_coding,tripartite motif family like 1,1.5,88.9,
chr22_hap1_hsa21,44336000,44337000,Western,11.98022027,6.845255579,0.788101898,PDXK,protein_coding,pyridoxal kinase,0.1,79.4,
chr1_hap1_hsa1,127573000,127574000,Western,11.44703951,6.841561489,0.947771535,AMY2B,protein_coding,amylase alpha 2B,0,100,
chr8_hap1_hsa10,28822000,28823000,Western,11.9210032,6.819128438,0.852182598,ITGA8,protein_coding,integrin subunit alpha 8,1.8,99.7,
chr1_hap1_hsa1,59972000,59973000,Western,10.79145324,6.818790131,0.947511464,LOC112206075,lncRNA,uncharacterized LOC112206075,1.4,87,
chr10_hap1_hsa12,134464000,134465000,Western,11.50105226,6.81365579,0.917088687,LOC134807443,lncRNA,uncharacterized LOC134807443,1.9,92.9,
chr12_hap1_hsa2a,45012000,45013000,Western,11.97966353,6.812503979,0.678913242,LOC129143149,lncRNA,uncharacterized LOC129143149,4.4,42.7,
chr20_hap1_hsa19,2849000,2850000,Western,11.35440331,6.810323642,0.894130662,LOC107969631,lncRNA,uncharacterized LOC107969631,3.5,71.2,
chr8_hap1_hsa10,25692000,25693000,Western,11.31968142,6.809805259,0.896310922,CAMK1D,protein_coding,calcium/calmodulin dependent protein kinase ID,2.5,50.4,
chr8_hap1_hsa10,145549000,145550000,Western,12.30928669,6.807810912,0.89931923,TUBGCP2,protein_coding,tubulin gamma complex component 2,3.2,44.8,
chr19_hap1_hsa17,13589000,13590000,Western,14.21063232,6.802617329,0.958463373,OR1D2,protein_coding,olfactory receptor family 1 subfamily D member 2,0,99.9,
chr2_hap1_hsa3,109702000,109703000,Western,11.50702101,6.798828645,0.944578729,LOC104005668,lncRNA,uncharacterized LOC104005668,1.1,94.5,
chr15_hap1_hsa14,104223000,104224000,Western,14.00858661,6.796445398,0.811448871,LOC101058482,V_segment,immunoglobulin heavy variable 5-51-like,1.3,99.8,
chr18_hap1_hsa16,82568000,82569000,Western,11.34760735,6.794135877,0.924271619,ATP2C2,protein_coding,ATPase secretory pathway Ca2+ transporting 2,3.2,81.9,
chr11_hap1_hsa9,4509000,4510000,Western,12.13289314,6.784216202,0.87213466,VAV2,protein_coding,vav guanine nucleotide exchange factor 2,2.3,73.9,
chr20_hap1_hsa19,61478000,61479000,Western,12.31184896,6.782809084,0.855667393,ZBTB45,protein_coding,zinc finger and BTB domain containing 45,1.1,43.1,
chr7_hap1_hsa8,9175000,9176000,Western,11.95845059,6.781652533,0.64774095,LOC129135632,lncRNA,uncharacterized LOC129135632,1.5,98.7,
chr7_hap1_hsa8,155343000,155344000,Western,11.18179575,6.780114691,0.9465159,ZNF16,protein_coding,zinc finger protein 16,0,22.7,
chr5_hap1_hsa6,173650000,173651000,Western,11.33154655,6.776098099,0.909570029,PRKN,protein_coding,parkin RBR E3 ubiquitin protein ligase,0,93.5,
chr10_hap1_hsa12,8327000,8328000,Western,11.38209021,6.77149911,0.860488517,ERC1,protein_coding,ELKS/RAB6-interacting/CAST family member 1,2.2,74,
chr4_hap1_hsa5,17475000,17476000,Western,11.6840666,6.76323286,0.775272457,MYO10,protein_coding,myosin X,3.7,43.3,
chr11_hap1_hsa9,3677000,3678000,Western,10.81649509,6.762227313,0.876029101,COL5A1,protein_coding,collagen type V alpha 1 chain,0,87.8,
chr22_hap1_hsa21,46101000,46102000,Western,14.69435234,6.760078046,0.704733232,COL18A1,protein_coding,collagen type XVIII alpha 1 chain,0,32.9,
chr22_hap1_hsa21,17987000,17988000,Western,11.41697127,6.756566727,0.826389298,LOC129138306,lncRNA,uncharacterized LOC129138306,3.6,97.7,
chr10_hap1_hsa12,84445000,84446000,Western,10.77921072,6.749123751,0.936676879,NAV3,protein_coding,neuron navigator 3,0,84.9,
chr8_hap1_hsa10,67178000,67179000,Western,11.79797456,6.747994532,0.962383025,PCDH15,protein_coding,protocadherin related 15,1.2,68.3,
chr3_hap1_hsa4,6696000,6697000,Western,11.01367948,6.742820251,0.932418944,PPP2R2C,protein_coding,protein phosphatase 2 regulatory subunit Bgamma,1.3,62.9,
chr20_hap1_hsa19,58014000,58015000,Western,11.4383695,6.740722619,0.908920203,PTPRH,protein_coding,protein tyrosine phosphatase receptor type H,1.5,70.3,
chr20_hap1_hsa19,56433000,56434000,Western,12.59710959,6.739963745,0.639040761,DPRX,protein_coding,divergent-paired related homeobox,4.7,96.9,
chr5_hap1_hsa6,129306000,129307000,Western,11.25551746,6.739818658,0.779277463,ROS1,protein_coding,ROS proto-oncogene 1%2C receptor tyrosine kinase,3.7,58.1,
chr11_hap1_hsa9,2162000,2163000,Western,12.62246424,6.73628548,0.986100834,CCDC187,protein_coding,coiled-coil domain containing 187,0,86.3,
chr14_hap1_hsa13,118491000,118492000,Western,12.18001439,6.736139268,0.715144733,ATP11A,protein_coding,ATPase phospholipid transporting 11A,0,35.9,
chr5_hap1_hsa6,44178000,44179000,Western,11.73116847,6.730057751,0.843223223,BTBD9,protein_coding,BTB domain containing 9,1.1,76.9,
chr5_hap1_hsa6,35689000,35690000,Western,14.55403328,6.724328934,0.822822577,LOC112209536,protein_coding,interferon-induced transmembrane protein 3-like,3.4,84.6,
chr14_hap1_hsa13,111287000,111288000,Western,11.14356197,6.721775713,0.835506034,LOC107967978,lncRNA,uncharacterized LOC107967978,1.6,99.6,
chr17_hap1_hsa18,40785000,40786000,Western,12.96892184,6.721772651,0.699292587,DSC3,protein_coding,desmocollin 3,0,98.1,
chr13_hap1_hsa2b,69131000,69132000,Western,10.9790894,6.720650235,0.96030423,XIRP2,protein_coding,xin actin binding repeat containing 2,1.5,74.5,
chr19_hap1_hsa17,13448000,13449000,Western,12.06479854,6.715785831,0.883018464,RAP1GAP2,protein_coding,RAP1 GTPase activating protein 2,4.5,29.9,
chr1_hap1_hsa1,226118000,226119000,Western,11.84606326,6.71171601,0.78297772,NPHP4,protein_coding,nephrocystin 4,1.6,71.9,
chr13_hap1_hsa2b,25465000,25466000,Western,11.28720991,6.701266277,0.796944145,CNTNAP5,protein_coding,contactin associated protein family member 5,3.1,38.8,
chr7_hap1_hsa8,63966000,63967000,Western,11.56058834,6.694742505,0.979749434,XKR4,protein_coding,XK related 4,0,36.2,
chr22_hap1_hsa21,46813000,46814000,Western,12.78147624,6.686592008,0.577113698,COL6A2,protein_coding,collagen type VI alpha 2 chain,2.4,49.7,
chr1_hap1_hsa1,228256000,228257000,Western,10.86248371,6.680162197,0.973254601,CEP104,protein_coding,centrosomal protein 104,4.3,30.1,
chr1_hap1_hsa1,214315000,214316000,Western,12.94639856,6.679052452,0.746629395,LOC112207549,snRNA,U1 spliceosomal RNA,2.2,22.8,
chr19_hap1_hsa17,56739000,56740000,Western,11.48841881,6.678255722,0.970000231,LOC107969247,lncRNA,uncharacterized LOC107969247,0,99.8,
chr6_hap1_hsa7,54666000,54667000,Western,15.30472899,6.672609693,0.819754348,LOC743528,protein_coding,dual specificity protein phosphatase CDC14C-like,1.3,89.1,
chr1_hap1_hsa1,209737000,209738000,Western,12.95890424,6.668264366,0.848865703,LOC129138147,protein_coding,uncharacterized LOC129138147,2.5,74.6,
chr3_hap1_hsa4,11001000,11002000,Western,10.34057641,6.657884851,0.974440446,LOC104005982,lncRNA,uncharacterized LOC104005982,0,60.2,
chr9_hap1_hsa11,131700000,131701000,Western,10.21932468,6.654771464,0.887156053,LOC134807286,protein_coding,uncharacterized LOC134807286,2.3,99.6,
chr9_hap1_hsa11,27040000,27041000,Western,12.40383511,6.653667155,0.689354313,GAS2,protein_coding,growth arrest specific 2,0.1,99.8,
chr10_hap1_hsa12,54395000,54396000,Western,10.82988221,6.653625262,0.908981491,PDZRN4,protein_coding,PDZ domain containing ring finger 4,1.3,100,
chr11_hap1_hsa9,115455000,115456000,Western,11.90016767,6.651358645,0.760289548,LOC107976596,lncRNA,uncharacterized LOC107976596,4.1,39.8,
chr23_hap1_hsa22,51469000,51470000,Western,11.67196167,6.639538161,0.735318318,LOC107970285,lncRNA,uncharacterized LOC107970285,0,87.5,
chr20_hap1_hsa19,55717000,55718000,Western,14.45206127,6.638772061,1.02098583,ZNF468,protein_coding,zinc finger protein 468,0,34.4,
chr10_hap1_hsa12,17361000,17362000,Western,11.22606807,6.636836923,0.948456935,KLRD1,protein_coding,killer cell lectin like receptor D1,1.8,100,
chr8_hap1_hsa10,145654000,145655000,Western,11.73414433,6.63347993,0.992858939,PAOX,protein_coding,polyamine oxidase,0,42.5,
chr19_hap1_hsa17,58862000,58863000,Western,11.5049924,6.633119919,0.915072226,DNAH9,protein_coding,dynein axonemal heavy chain 9,1.5,75,
chr13_hap1_hsa2b,142646000,142647000,Western,10.80833503,6.628436121,0.914427152,LOC104005436,lncRNA,uncharacterized LOC104005436,3.5,44.3,
chr12_hap1_hsa2a,35656000,35657000,Western,12.62605799,6.614395038,0.715238214,LOC112208301,snRNA,U2 spliceosomal RNA,1.2,99.8,
chr18_hap1_hsa16,2901000,2902000,Western,14.32943777,6.60637703,0.908032519,CAPN15,protein_coding,calpain 15,3.7,22.1,
chr1_hap1_hsa1,212935000,212936000,Western,11.33830897,6.605882813,0.892162532,IGSF21,protein_coding,immunoglobin superfamily member 21,1.4,95.3,
chr13_hap1_hsa2b,39302000,39303000,Western,10.92202088,6.604604391,0.80698444,THSD7B,protein_coding,thrombospondin type 1 domain containing 7B,2.3,29.8,
chr5_hap1_hsa6,35884000,35885000,Western,13.52846716,6.603335764,0.812686545,LOC104006775,protein_coding,uncharacterized LOC104006775,4.1,21.8,
chr15_hap1_hsa14,103040000,103041000,Western,10.8557465,6.602188421,0.903539419,CLBA1,protein_coding,clathrin binding box of aftiphilin containing 1,3.1,79,
chr5_hap1_hsa6,35657000,35658000,Western,11.14078475,6.600176489,0.943536003,PATR-F,protein_coding,major histocompatibility complex%2C class I%2C F,3.1,67.5,
chr7_hap1_hsa8,28662000,28663000,Western,11.26178607,6.59191058,0.763939221,LOC107976483,lncRNA,uncharacterized LOC107976483,3.1,99.9,
chr19_hap1_hsa17,11787000,11788000,Western,11.26407849,6.588990227,0.949036785,TRARG1,protein_coding,trafficking regulator of GLUT4 (SLC2A4) 1,1.4,48.6,
chr5_hap1_hsa6,35988000,35989000,Western,11.00351178,6.586722653,0.921220112,RNF39,protein_coding,ring finger protein 39,0,97.8,
chr9_hap1_hsa11,24743000,24744000,Western,13.09896328,6.584568251,0.570741775,NELL1,protein_coding,neural EGFL like 1,0,27.8,
chr5_hap1_hsa6,180494000,180495000,Western,11.32081124,6.580545079,0.990650899,LOC107975407,lncRNA,uncharacterized LOC107975407,2.2,32.6,
chr7_hap1_hsa8,154933000,154934000,Western,13.35024639,6.573668461,0.789375517,ARHGAP39,protein_coding,Rho GTPase activating protein 39,0,35.2,
chr18_hap1_hsa16,54642000,54643000,Western,11.27443242,6.564145446,0.90337872,MT1M,protein_coding,metallothionein 1M,1.6,22.7,
chr20_hap1_hsa19,57392000,57393000,Western,10.88840184,6.562369428,0.949484208,LILRA2,protein_coding,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2,3.3,91.6,
chr9_hap1_hsa11,7645000,7646000,Western,11.60445912,6.560215662,0.885251504,LOC134807326,lncRNA,uncharacterized LOC134807326,1.5,66.6,
chr17_hap1_hsa18,78209000,78210000,Western,11.3584637,6.560192899,0.751450352,LOC107969522,lncRNA,uncharacterized LOC107969522,0,99.7,
chr3_hap1_hsa4,6428000,6429000,Western,9.932408097,6.550260643,0.92661488,JAKMIP1,protein_coding,janus kinase and microtubule interacting protein 1,5,83.8,
chr20_hap1_hsa19,3029000,3030000,Western,11.27286018,6.547248389,0.83866341,PALM,protein_coding,paralemmin,1.8,28.9,
chr2_hap1_hsa3,4790000,4791000,Western,10.66721938,6.546988589,0.875518917,LOC104005445,lncRNA,uncharacterized LOC104005445,0,82.6,
chr14_hap1_hsa13,117247000,117248000,Western,10.54144611,6.544754989,0.861493709,LOC134808165,lncRNA,uncharacterized LOC134808165,3.8,64.1,
chr4_hap1_hsa5,176626000,176627000,Western,10.58903202,6.538896542,0.964064994,ADAMTS2,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 2,0,43,
chr13_hap1_hsa2b,143790000,143791000,Western,10.79728581,6.536897678,0.946178018,FARP2,protein_coding,FERM%2C ARH/RhoGEF and pleckstrin domain protein 2,3.4,64,
chr12_hap1_hsa2a,118484000,118485000,Western,10.65176905,6.535475693,0.850961287,LOC134807842,lncRNA,uncharacterized LOC134807842,2.6,100,
chr2_hap1_hsa3,66692000,66693000,Western,11.25155755,6.523988008,0.739959365,CADPS,protein_coding,calcium dependent secretion activator,0,100,
chr6_hap1_hsa7,6595000,6596000,Western,11.16865611,6.52382806,0.983518644,PRKAR1B,protein_coding,protein kinase cAMP-dependent type I regulatory subunit beta,4,40.2,
chr18_hap1_hsa16,87492000,87493000,Western,10.65437138,6.521229091,0.913497806,ANKRD11,protein_coding,ankyrin repeat domain containing 11,1.5,59,
chr3_hap1_hsa4,179537000,179538000,Western,11.63551399,6.521129799,0.869383108,LOC107974493,lncRNA,uncharacterized LOC107974493,1.5,99.9,
chr12_hap1_hsa2a,117194000,117195000,Western,13.09021552,6.515591844,0.668073875,LOC134807841,lncRNA,uncharacterized LOC134807841,0,94.1,
chr7_hap1_hsa8,13069000,13070000,Western,10.95459322,6.510396575,0.759124175,LOC107976223,lncRNA,uncharacterized LOC107976223,1.4,93,
chr6_hap1_hsa7,52831000,52832000,Western,11.23741795,6.510140127,0.945890617,LOC107975793,lncRNA,uncharacterized LOC107975793,4.2,45.7,
chr2_hap1_hsa3,101553000,101554000,Western,10.97674938,6.507515291,0.94425984,LOC738646,protein_coding,olfactory receptor 5H6-like,0,92.5,
chr11_hap1_hsa9,3917000,3918000,Western,10.39953591,6.506928178,0.899765168,LOC134807598,lncRNA,uncharacterized LOC134807598,0,46.4,
chr15_hap1_hsa14,20311000,20312000,Western,11.25456114,6.501883314,0.945241155,LOC748623,V_segment,T cell receptor alpha variable 14/delta variable 4-like,0,99.8,
chr9_hap1_hsa11,4410000,4411000,Western,13.9717894,6.497533909,1.090121394,SIRT3,protein_coding,sirtuin 3,1.1,23.6,
chr18_hap1_hsa16,15273000,15274000,Western,10.28889732,6.496917988,0.951959754,LOC134808782,lncRNA,uncharacterized LOC134808782,1.9,30.7,
chr11_hap1_hsa9,29988000,29989000,Western,10.92537651,6.49670414,0.944997774,LOC107976875,lncRNA,uncharacterized LOC107976875,3,83.7,
chr6_hap1_hsa7,15541000,15542000,Western,11.47351216,6.495836249,0.845577828,LOC134810405,lncRNA,uncharacterized LOC134810405,1.6,99.7,
chr1_hap1_hsa1,211806000,211807000,Western,11.13697635,6.490597592,0.873822718,CAPZB,protein_coding,capping actin protein of muscle Z-line subunit beta,1.8,88,
chr4_hap1_hsa5,5946000,5947000,Western,11.30101948,6.488136128,0.941287393,ADAMTS16,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 16,1.4,100,
chr9_hap1_hsa11,93326000,93327000,Western,11.35244548,6.487928757,1.016092671,LOC129136356,lncRNA,uncharacterized LOC129136356,0,92,
chr19_hap1_hsa17,96089000,96090000,Western,11.10429879,6.487919106,0.861058039,FN3KRP,protein_coding,fructosamine 3 kinase related protein,2.8,60.7,
chr6_hap1_hsa7,96169000,96170000,Western,11.05189495,6.485784638,0.925344334,GRM3,protein_coding,glutamate metabotropic receptor 3,3.5,89.1,
chr11_hap1_hsa9,114999000,115000000,Western,11.28022446,6.481893326,0.697113549,DMRT1,protein_coding,doublesex and mab-3 related transcription factor 1,2.7,91,
chr18_hap1_hsa16,27520000,27521000,Western,10.97209774,6.472727402,0.896914678,SLC5A11,protein_coding,solute carrier family 5 member 11,2.5,73.2,
chr10_hap1_hsa12,132973000,132974000,Western,11.11483722,6.472706636,0.847315341,LOC104001735,protein_coding,uncharacterized LOC104001735,1.4,89.4,
chr14_hap1_hsa13,25040000,25041000,Western,11.43733833,6.470596937,0.848758655,ATP8A2,protein_coding,ATPase phospholipid transporting 8A2,4.3,91.5,
chr20_hap1_hsa19,56895000,56896000,Western,10.32709545,6.467093998,0.685591462,TARM1,protein_coding,T cell-interacting%2C activating receptor on myeloid cells 1,2.7,94.9,
chr4_hap1_hsa5,1601000,1602000,Western,11.53024029,6.466772179,0.631352614,LOC134809997,lncRNA,uncharacterized LOC134809997,0,97.1,
chr9_hap1_hsa11,135741000,135742000,Western,13.35050375,6.464522067,0.609692636,SPATA19,protein_coding,spermatogenesis associated 19,0,47.9,
chr21_hap1_hsa20,9353000,9354000,Western,11.30812063,6.462795971,0.720247826,EBF4,protein_coding,EBF family member 4,4.9,95.9,
chr10_hap1_hsa12,9003000,9004000,Western,11.59623251,6.462468155,0.739736851,CACNA2D4,protein_coding,calcium voltage-gated channel auxiliary subunit alpha2delta 4,0,68,
chr8_hap1_hsa10,13144000,13145000,Western,10.67206825,6.462116749,0.930627112,DIP2C,protein_coding,disco interacting protein 2 homolog C,1.8,45,
chr6_hap1_hsa7,162128000,162129000,Western,12.64632595,6.451992598,0.778667665,CNTNAP2,protein_coding,contactin associated protein 2,0,76.3,
chr7_hap1_hsa8,15362000,15363000,Western,10.5403792,6.446251232,0.949362921,LOC104004250,lncRNA,uncharacterized LOC104004250,0,100,
chr9_hap1_hsa11,9278000,9279000,Western,11.10281675,6.446210592,0.965173265,LOC466370,protein_coding,olfactory receptor 52A5,0,100,
chr4_hap1_hsa5,84338000,84339000,Western,12.53245012,6.437690712,0.7944558,LOC112209196,lncRNA,uncharacterized LOC112209196,0,88.5,
chr12_hap1_hsa2a,87686000,87687000,Western,10.20452087,6.437436659,0.792195485,LOC107973431,lncRNA,uncharacterized LOC107973431,1.7,38.2,
chr1_hap1_hsa1,205550000,205551000,Western,12.8312799,6.429960008,0.9907972,LOC112209443,protein_coding,RH-like protein IIR,3.1,24.4,
chr17_hap1_hsa18,77867000,77868000,Western,10.28434598,6.428115889,0.94775273,LOC134808625,lncRNA,uncharacterized LOC134808625,1.5,99.9,
chr15_hap1_hsa14,103099000,103100000,Western,11.85758169,6.423240005,0.62825688,GPR132,protein_coding,G protein-coupled receptor 132,0,97.3,
